  N ,   Z ,  El , Mass_Excess  ,     Atomic Mass
144 ,  93 ,  Np ,   44871.6    , 237.0481712
143 ,  94 ,  Pu ,   45091.7    , 237.0484078
141 ,  96 ,  Cm ,   49250      , 237.052870
139 ,  98 ,  Cf ,   57940      , 237.062200
147 ,  91 ,  Pa ,   50894      , 238.054637
146 ,  92 ,  U  ,   47307.7    , 238.0507866
145 ,  93 ,  Np ,   47454.6    , 238.0509442
144 ,  94 ,  Pu ,   46163.1    , 238.0495582
143 ,  95 ,  Am ,   48420      , 238.051980
142 ,  96 ,  Cm ,   49445      , 238.053082
147 ,  92 ,  U  ,   50572.7    , 239.0542926
146 ,  93 ,  Np ,   49311.0    , 239.0529374
145 ,  94 ,  Pu ,   48588.2    , 239.0521612
144 ,  95 ,  Am ,   49390.4    , 239.0530221
143 ,  96 ,  Cm ,   51150      , 239.054910
148 ,  92 ,  U  ,   52715.5    , 240.0565927
147 ,  93 ,  Np ,   52316      , 240.056164
146 ,  94 ,  Pu ,   50125.3    , 240.0538112
145 ,  95 ,  Am ,   51510      , 240.055298
144 ,  96 ,  Cm ,   51724.2    , 240.0555280
142 ,  98 ,  Cf ,   57989      , 240.062253
148 ,  93 ,  Np ,   54320      , 241.058310
147 ,  94 ,  Pu ,   52955.1    , 241.0568492
146 ,  95 ,  Am ,   52934.3    , 241.0568272
145 ,  96 ,  Cm ,   53701.8    , 241.0576517
149 ,  93 ,  Np ,   57420      , 242.061640
148 ,  94 ,  Pu ,   54716.9    , 242.0587413
147 ,  95 ,  Am ,   55468.0    , 242.0595472
146 ,  96 ,  Cm ,   54803.7    , 242.0588342
144 ,  98 ,  Cf ,   59387      , 242.063755
149 ,  94 ,  Pu ,   57754.6    , 243.0620027
148 ,  95 ,  Am ,   57175.0    , 243.0613795
147 ,  96 ,  Cm ,   57181.9    , 243.0613876
146 ,  97 ,  Bk ,   58690      , 243.063006
150 ,  94 ,  Pu ,   59806.0    , 244.0642045
149 ,  95 ,  Am ,   59879.1    , 244.0642826
148 ,  96 ,  Cm ,   58451.8    , 244.0627502
147 ,  97 ,  Bk ,   60714      , 244.065179
146 ,  98 ,  Cf ,   61478.1    , 244.0659998
151 ,  94 ,  Pu ,   63178      , 245.067825
150 ,  95 ,  Am ,   61900.4    , 245.0664520
149 ,  96 ,  Cm ,   61004.5    , 245.0654912
148 ,  97 ,  Bk ,   61813.8    , 245.0663599
147 ,  98 ,  Cf ,   63385.2    , 245.0680466
152 ,  94 ,  Pu ,   65395      , 246.070204
150 ,  96 ,  Cm ,   62616.9    , 246.0672226
149 ,  97 ,  Bk ,   63970      , 246.068670
148 ,  98 ,  Cf ,   64090.2    , 246.0688036
147 ,  99 ,  Es ,   67820      , 246.072810
146 , 100 ,  Fm ,   70191      , 246.075353
151 ,  96 ,  Cm ,   65533      , 247.070353
150 ,  97 ,  Bk ,   65490      , 247.070306
149 ,  98 ,  Cf ,   66109      , 247.070971
148 ,  99 ,  Es ,   68578      , 247.073622
152 ,  96 ,  Cm ,   67392.7    , 248.0723495
151 ,  97 ,  Bk ,   68130      , 248.073140
150 ,  98 ,  Cf ,   67238      , 248.072183
148 , 100 ,  Fm ,   71898      , 248.077185
153 ,  96 ,  Cm ,   70750.7    , 249.0759545
152 ,  97 ,  Bk ,   69846.3    , 249.0749833
151 ,  98 ,  Cf ,   69722.7    , 249.0748503
149 , 100 ,  Fm ,   73519      , 249.078926
148 , 101 ,  Md ,   77180      , 249.082860
154 ,  96 ,  Cm ,   72990      , 250.078358
153 ,  97 ,  Bk ,   72952.0    , 250.078317
152 ,  98 ,  Cf ,   71170.3    , 250.0764047
150 , 100 ,  Fm ,   74072      , 250.079520
149 , 101 ,  Md ,   78400      , 250.084160
155 ,  96 ,  Cm ,   76648      , 251.082285
154 ,  97 ,  Bk ,   75228      , 251.080761
153 ,  98 ,  Cf ,   74135      , 251.079587
152 ,  99 ,  Es ,   74512      , 251.079991
151 , 100 ,  Fm ,   75959      , 251.081545
150 , 101 ,  Md ,   78967      , 251.084774
154 ,  98 ,  Cf ,   76034.6    , 252.0816265
153 ,  99 ,  Es ,   77290      , 252.082980
152 , 100 ,  Fm ,   76817      , 252.082466
151 , 101 ,  Md ,   80470      , 252.086390
150 , 102 ,  No ,   82871      , 252.088966
155 ,  98 ,  Cf ,   79302      , 253.085134
154 ,  99 ,  Es ,   79010.5    , 253.0848213
153 , 100 ,  Fm ,   79345.5    , 253.0851807
151 , 102 ,  No ,   84359      , 253.090563
150 , 103 ,  Lr ,   88520      , 253.095030
156 ,  98 ,  Cf ,   81341      , 254.087324
155 ,  99 ,  Es ,   81994.2    , 254.088024
154 , 100 ,  Fm ,   80902.5    , 254.0868520
152 , 102 ,  No ,   84723      , 254.090954
151 , 103 ,  Lr ,   89650      , 254.096240
156 ,  99 ,  Es ,   84089      , 255.090274
155 , 100 ,  Fm ,   83800      , 255.089963
154 , 101 ,  Md ,   84842      , 255.091082
153 , 102 ,  No ,   86812      , 255.093196
152 , 103 ,  Lr ,   89947      , 255.096562
156 , 100 ,  Fm ,   85485      , 256.091772
154 , 102 ,  No ,   87823      , 256.094282
153 , 103 ,  Lr ,   91750      , 256.098490
152 , 104 ,  Rf ,   94222      , 256.101151
157 , 100 ,  Fm ,   88590      , 257.095105
156 , 101 ,  Md ,   88992.5    , 257.0955377
155 , 102 ,  No ,   90247      , 257.096884
153 , 104 ,  Rf ,   95866      , 257.102917
152 , 105 ,  Db ,  100150      , 257.107520
157 , 101 ,  Md ,   91690      , 258.098434
154 , 104 ,  Rf ,   96344      , 258.103430
153 , 105 ,  Db ,  101510      , 258.108970
157 , 102 ,  No ,   94079      , 259.100998
154 , 105 ,  Db ,  101990      , 259.109490
154 , 106 ,  Sg ,  106547      , 260.114383
157 , 104 ,  Rf ,  101320      , 261.108770
155 , 106 ,  Sg ,  108005      , 261.115948
154 , 107 ,  Bh ,  113080      , 261.121400
156 , 106 ,  Sg ,  108369      , 262.116339
155 , 107 ,  Bh ,  114250      , 262.122650
156 , 108 ,  Hs ,  119563      , 264.128360
157 , 108 ,  Hs ,  120900      , 265.129792
158 , 108 ,  Hs ,  121140      , 266.130049
157 , 109 ,  Mt ,  127670      , 266.137060
159 , 110 ,  Ds ,  134830      , 269.144750
160 , 110 ,  Ds ,  134680      , 270.144590
